School Level / Category,SNo.,School Code,School Name,Address
School Level: PS,661,S0691,SADA GOVERNMENT PRIMARY SCHOOL,"P.O. Barfung, Pin: 737139"
School Level: PS,662,S0782,SADHU GOAN GOVERNMENT PRIMARY SCHOOL,"P.O. Chakhung, Pin: 737127"
School Level: PS,663,S0724,SAGBARI GOVERNMENT PRIMARY SCHOOL,"P.O. Legship, Pin: 737111"
School Level: PS,664,S0196,SAJONG TIMPEM GOVERNMENT PRIMARY SCHOOL,"P.O. Ray Mindu, Pin: 737135"
School Level: PS,665,S0137,SAKHU KHANI GOVERNMENT PRIMARY SCHOOL,"P.O. Sakhu Busty, Pin: 737134"
School Level: PS,666,S0534,SALANGDANG GOVERNMENT PRIMARY SCHOOL,"P.O. Sombarey, Pin: 737122"
School Level: PS,667,S0275,SALLEY GOVERNMENT PRIMARY SCHOOL,"P.O. Lingchom, Pin: 737111"
School Level: PS,668,S0503,SAMDUR GOVERNMENT PRIMARY SCHOOL,"P.O. Samdur, Pin: 737102"
School Level: PS,669,S0179,SAMSING SUNTALEY GOVERNMENT PRIMARY SCHOOL,"P.O. Duga, Pin: 737132"
School Level: PS,670,S0480,SAMTAR GOVERNMENT PRIMARY SCHOOL,"P.O. Rakdong, Pin: 737107"
School Level: PS,671,S0066,SANGKALANG GOVERNMENT PRIMARY SCHOOL,"P.O. Sankalang, Pin: 737116"
School Level: PS,672,S0221,SANGKHOLA GOVERNMENT PRIMARY SCHOOL,"P.O. Sangkhola, Pin: 737134"
School Level: PS,673,S0581,SANGKHOLA GOVERNMENT PRIMARY SCHOOL,"P.O. Gayzing, Pin: 737111"
School Level: PS,674,S0367,SANKHU GOVERNMENT PRIMARY SCHOOL,"P.O. Dentam, Pin: 737112"
School Level: PS,675,S0528,SAPREY-NAGI GOVERNMENT PRIMARY SCHOOL,"P.O. Tikpur, Pin: 737121"
School Level: PS,676,S0359,SAPUNG GOVERNMENT PRIMARY SCHOOL,"P.O. Dentam, Pin: 737112"
School Level: PS,677,S0768,SAWNEY GOVERNMENT PRIMARY SCHOOL,"P.O. Duga, Pin: 737132"
School Level: PS,678,S0376,SEPI GOVERNMENT PRIMARY SCHOOL,"P.O. Dentam, Pin: 737112"
School Level: PS,679,S0045,SHIP GYER GOVERNMENT PRIMARY SCHOOL,"P.O. Shipgyer, Pin: 737120"
School Level: PS,680,S0065,SHIPTHANG GOVERNMENT PRIMARY SCHOOL,"P.O. Men Rongong, Pin: 737116"
School Level: PS,681,S0661,SHYAMDAS GOVERNMENT PRIMARY SCHOOL(SSA),"P.O. Namchi, Pin: 737126"
School Level: PS,682,S0588,SIKTAM GOVERNMENT PRIMARY SCHOOL,"P.O. Sombarey, Pin: 737122"
School Level: PS,683,S0343,SIMAYBONG GOVERNMENT PRIMARY SCHOOL(SSA),"P.O. Sinek, Pin: 737111"
School Level: PS,684,S0339,SIMCHEN GOVERNMENT PRIMARY SCHOOL,"P.O. Khechuperi, Pin: 737113"
School Level: PS,685,S0439,SIMKHARKA GOVERNMENT PRIMARY SCHOOL,"P.O. Ben, Pin: 737139"
School Level: PS,686,S0783,SIMKUNA BHASMEY GOVERNMENT PRIMARY SCHOOL,"P.O. Chakung, Pin: 737127"
School Level: PS,687,S0702,SIMPHOK GOVERNMENT PRIMARY SCHOOL,"P.O. Dentam, Pin: 737112"
School Level: PS,688,S0778,SINDRONG GOVERNMENT PRIMARY SCHOOL,"P.O. Pelling, Pin: 737113"
School Level: PS,689,S0454,SINGITHANG GOVERNMENT PRIMARY SCHOOL,"P.O. Namchi, Pin: 737126"
School Level: PS,690,S0294,SINGLITAM GOVERNMENT PRIMARY SCHOOL,"P.O. Rimbi, Pin: 737113"
School Level: PS,691,S0537,SINGPHENG GOVERNMENT PRIMARY SCHOOL,"P.O. Gayzing, Pin: 737111"
School Level: PS,692,S0298,SINGREP GOVERNMENT PRIMARY SCHOOL,"P.O. Chumbong, Pin: 737121"
School Level: PS,693,S0761,SINGTAM PALLUM GOVERNMENT PRIMARY SCHOOL,"P.O. Singhithang, Pin: 737126"
School Level: PS,694,S0744,SINGYANG GOVERNMENT PRIMARY SCHOOL,"P.O. Pelling, Pin: 737113"
School Level: PS,695,S1247,SIRBONG GOVERNMENT PRIMARY SCHOOL,"P.O. Arubotey, Pin: 737121"
School Level: PS,696,S0307,SISNAY GOVERNMENT PRIMARY SCHOOL(W),"P.O. Naya Bazaar, Pin: 737121"
School Level: PS,697,S0172,SISNEY GOVERNMENT PRIMARY SCHOOL,"P.O. Rongli Bazar, Pin: 737131"
School Level: PS,698,S0357,SOM BUSTY GOVERNMENT PRIMARY SCHOOL,"P.O. Dentam, Pin: 737112"
School Level: PS,699,S0447,SOROK MANPUR GOVERNMENT PRIMARY SCHOOL,"P.O. Sorok, Pin: 737126"
School Level: PS,700,S0514,SOTAK GOVERNMENT PRIMARY SCHOOL,"P.O. Penlong, Pin: 737103"
School Level: PS,701,S0554,SUBINKHOR GOVERNMENT PRIMARY SCHOOL,"P.O. Rangpo, Pin: 737132"
School Level: PS,702,S0471,SUBITHANG GOVERNMENT PRIMARY SCHOOL,"P.O. Lingzey, Pin: 737134"
School Level: PS,703,S0633,SUBUK GOVERNMENT PRIMARY SCHOOL,"P.O. Sanganath, Pin: 737121"
School Level: PS,704,S0625,SUKRABAREY GOVERNMENT PRIMARY SCHOOL,"P.O. Sadam, Pin: 737128"
School Level: PS,705,S0577,SUMSEE GOVERNMENT PRIMARY SCHOOL,"P.O. Yangang, Pin: 737134"
School Level: PS,706,S0365,SUNTALEY GOVERNMENT PRIMARY SCHOOL,"P.O. Arubotey, Pin: 737121"
School Level: PS,707,S0390,SUNTALEY MAKARZONG GOVERNMENT PRIMARY SCHOOL,"P.O. Sadam, Pin: 737128"
School Level: PS,708,S0004,TADONG GOVERNMENT PRIMARY SCHOOL(SSA),"P.O. Phodong, Pin: 737119"
School Level: PS,709,S0739,TAFEL GOVERNMENT PRIMARY SCHOOL,"P.O. Rinchenpong, Pin: 737111"
School Level: PS,710,S0105,TAKSANG KAIZALEY GOVERNMENT PRIMARY SCHOOL,"P.O. Bering, Pin: 737106"
School Level: PS,711,S0700,TAKSONG GOVERNMENT PRIMARY SCHOOL,"P.O. Bering, Pin: 737106"
School Level: PS,712,S0043,TANEK GOVERNMENT PRIMARY SCHOOL,"P.O. Mangan, Pin: 737116"
School Level: PS,713,S0612,TANGEY BORBOTEY GOVERNMENT PRIMARY SCHOOL,"P.O. Namthang, Pin: 737137"
School Level: PS,714,S0729,TANGZI GOVERNMENT PRIMARY SCHOOL,"P.O. Namthang, Pin: 737137"
School Level: PS,715,S0579,TAREYBHIR GOVERNMENT PRIMARY SCHOOL,"P.O. Sombarey, Pin: 737122"
School Level: PS,716,S0619,TARKU GAIRIGOAN GOVERNMENT PRIMARY SCHOOL,"P.O. Temi Tarku, Pin: 737134"
School Level: PS,717,S0676,TARNIM GOVERNMENT PRIMARY SCHOOL,"P.O. Ravangla, Pin: 737139"
School Level: PS,718,S0677,TARNIM GOVERNMENT PRIMARY SCHOOL NEW 2010,"P.O. Ravangla, Pin: 737139"
School Level: PS,719,S0161,TARPIN SALGHARI GOVERNMENT PRIMARY SCHOOL,"P.O. Rhenock, Pin: 737133"
School Level: PS,720,S0062,TARYANG GOVERNMENT PRIMARY SCHOOL,"P.O. Gor, Pin: 737107"
School Level: PS,721,S0327,TATHANG GOVERNMENT PRIMARY SCHOOL,"P.O. Melli-Aching, Pin: 737113"
School Level: PS,722,S0445,TEK GOVERNMENT PRIMARY SCHOOL,"P.O. Turuk, Pin: 737126"
School Level: PS,723,S0461,THANGCHUNG GOVERNMENT PRIMARY SCHOOL,"P.O. Sinek, Pin: 737111"
School Level: PS,724,S0203,THEGU GOVERNMENT PRIMARY SCHOOL,"P.O. Sherathang, Pin: 737102"
School Level: PS,725,S0115,THEKABONG GOVERNMENT PRIMARY SCHOOL,"P.O. Lingkey, Pin: 737106"
School Level: PS,726,S0322,THINGLING-II GOVERNMENT PRIMARY SCHOOL,"P.O. Khechuperi, Pin: 737113"
School Level: PS,727,S0276,THONGLING GOVERNMENT PRIMARY SCHOOL,"P.O. Timberbong, Pin: 737121"
School Level: PS,728,S0144,THUNGSUNG GOVERNMENT PRIMARY SCHOOL,"P.O. Aritar, Pin: 737133"
School Level: PS,729,S0283,TIKJEK GOVERNMENT PRIMARY SCHOOL,"P.O. Yangthang, Pin: 737111"
School Level: PS,730,S0309,TIKJUK GOVERNMENT PRIMARY SCHOOL,"P.O. Pelling, Pin: 737113"
School Level: PS,731,S0549,TIMBUREY GOVERNMENT PRIMARY SCHOOL,"P.O. Salghari, Pin: 737126"
School Level: PS,732,S0077,TINGDA GOVERNMENT PRIMARY SCHOOL,"P.O. Kabi, Pin: 737117"
School Level: PS,733,S0630,TINGMOO BIRING GOVERNMENT PRIMARY SCHOOL,"P.O. Tingmo, Pin: 737139"
School Level: PS,734,S0340,TINGTING GAON GOVERNMENT PRIMARY SCHOOL,"P.O. Yuksom, Pin: 737113"
School Level: PS,735,S0499,TINKHARKA GOVERNMENT PRIMARY SCHOOL,"P.O. Lingkey, Pin: 737106"
School Level: PS,736,S0482,TINTEK CHUBA GOVERNMENT PRIMARY SCHOOL,"P.O. Rakdong, Pin: 737107"
School Level: PS,737,S0649,TINTEK MARCHAK GOVERNMENT PRIMARY SCHOOL,"P.O. Dikchu, Pin: 737107"
School Level: PS,738,S0478,TINTEK SARASWATI GOVERNMENT PRIMARY SCHOOL,"P.O. Rakdong, Pin: 737107"
School Level: PS,739,S0540,TINZIRING GOVERNMENT PRIMARY SCHOOL,"P.O. Gerethang, Pin: 737111"
